0,9.0784,9.0806,2.929687e-07,1550.28,5284.20
0,9.0784,9.0806,2.929687e-07,1096.35,7472.04
200,6.5287,6.4872,5.888672e-05,961.50,8520.05
400,4.5894,4.5639,1.174805e-04,962.85,8508.05
600,3.9162,3.8463,1.760742e-04,962.79,8508.62
800,3.1317,3.4642,2.346680e-04,960.86,8525.66
1000,2.9631,3.2844,2.932617e-04,960.52,8528.75
1200,3.2248,3.0694,2.999623e-04,960.83,8525.93
1400,3.1670,2.9307,2.998279e-04,959.81,8535.06
1600,2.5547,2.8057,2.995962e-04,960.02,8533.12
1800,2.4307,2.7455,2.992674e-04,960.72,8526.98
2000,2.8079,2.6671,2.988417e-04,960.23,8531.26
2200,2.0821,2.6385,2.983194e-04,960.36,8530.10
2400,2.7864,2.5546,2.977010e-04,960.18,8531.75
2600,2.7083,2.5203,2.969868e-04,960.60,8528.00
2800,1.9122,2.5082,2.961773e-04,961.86,8516.84
3000,2.1732,2.4350,2.952732e-04,960.30,8530.64
3200,2.0603,2.4300,2.942751e-04,959.95,8533.77
3400,2.5836,2.3850,2.931837e-04,959.84,8534.76
3600,2.5524,2.3717,2.919999e-04,960.16,8531.88
3800,2.5988,2.3342,2.907243e-04,959.73,8535.71
4000,1.9876,2.3362,2.893581e-04,970.65,8439.70
4200,2.5437,2.3023,2.879021e-04,1000.26,8189.84
4400,1.7784,2.3079,2.863575e-04,1000.47,8188.13
4600,1.9581,2.2868,2.847253e-04,1000.19,8190.43
4800,1.9142,2.2572,2.830067e-04,1000.27,8189.81
5000,2.4157,2.2583,2.812029e-04,1001.72,8177.97
5200,1.8803,2.2615,2.793153e-04,1000.15,8190.80
5400,2.4361,2.2147,2.773453e-04,1000.32,8189.34
5600,2.3831,2.2031,2.752941e-04,1000.26,8189.88
5800,2.3417,2.1959,2.731634e-04,1000.25,8189.97
6000,2.1722,2.1800,2.709546e-04,1000.22,8190.17
6200,1.7571,2.2001,2.686694e-04,1000.15,8190.76
6400,2.2510,2.1706,2.663093e-04,1000.18,8190.53
6600,1.7707,2.1751,2.638762e-04,1000.17,8190.59
6800,2.2819,2.1450,2.613717e-04,1000.03,8191.75
7000,1.7668,2.1433,2.587977e-04,1000.06,8191.54
7200,1.6617,2.1516,2.561560e-04,1000.12,8191.04
7400,1.5728,2.1426,2.534485e-04,1000.18,8190.51
7600,1.6480,2.1256,2.506773e-04,1000.20,8190.39
7800,2.2032,2.1084,2.478441e-04,1000.15,8190.74
8000,1.8553,2.1027,2.449512e-04,1000.10,8191.15
8200,1.8714,2.0878,2.420007e-04,1000.04,8191.67
8400,1.7835,2.0933,2.389945e-04,1000.22,8190.22
8600,1.5854,2.0802,2.359350e-04,1000.11,8191.10
8800,1.8539,2.0825,2.328243e-04,1000.22,8190.19
9000,1.5870,2.1011,2.296646e-04,1000.14,8190.82
9200,1.6557,2.0645,2.264583e-04,1000.18,8190.49
9400,1.5098,2.0608,2.232076e-04,1000.15,8190.79
9600,1.6948,2.0550,2.199150e-04,1000.17,8190.62
9800,2.2742,2.0514,2.165827e-04,1002.10,8174.83
10000,1.6973,2.0466,2.132132e-04,999.98,8192.14
10200,1.6891,2.0582,2.098089e-04,1000.18,8190.56
10400,1.8131,2.0262,2.063722e-04,1000.18,8190.52
10600,1.6027,2.0390,2.029058e-04,1000.17,8190.57
10800,1.5783,2.0334,1.994119e-04,1000.19,8190.44
11000,1.5080,2.0163,1.958933e-04,1000.22,8190.23
11200,1.6084,2.0200,1.923523e-04,1000.17,8190.61
11400,1.7021,2.0108,1.887916e-04,1000.18,8190.49
11600,2.1903,2.0049,1.852138e-04,1000.17,8190.63
11800,1.8975,2.0130,1.816213e-04,1000.16,8190.70
12000,1.6736,2.0145,1.780169e-04,1000.15,8190.74
12200,1.5975,1.9964,1.744031e-04,1000.29,8189.59
12400,2.2017,1.9925,1.707824e-04,1000.18,8190.49
12600,2.1763,1.9865,1.671577e-04,1000.18,8190.53
12800,2.1117,1.9826,1.635313e-04,1000.19,8190.47
13000,2.1234,1.9822,1.599060e-04,1000.19,8190.44
13200,1.7130,1.9769,1.562844e-04,1000.18,8190.54
13400,1.7504,1.9869,1.526691e-04,1000.47,8188.17
13600,1.7151,1.9796,1.490627e-04,1000.06,8191.49
13800,1.7048,1.9677,1.454678e-04,1000.11,8191.13
14000,1.9125,1.9657,1.418869e-04,1000.21,8190.29
14200,1.6571,1.9608,1.383228e-04,1000.04,8191.63
14400,1.5503,1.9682,1.347779e-04,1000.18,8190.53
